in:Index,out:WWR_Skylight,out:WWR_Skylight_Vertical_Shading_Divided,out:H_Skylight,out:W_Skylight,out:SH_Skylight,out:Distance_A_Skylight,out:Distance_B_Skylight,out:WWR_Corridor,out:H_Corridor,out:W_Corridor,out:SH_Corridor,out:Distance_A_Corridor,out:Distance_B_Corridor,out:Degree,out:Overhang_Angle,out:Overhang_Length,out:Overhang_Movement_Distance,out:Vertical_Shading_Number,out:Vertical_Shading_Width,out:Vertical_Shading_Length,out:W_Skylight_Vertical_Shading_Divided,out:Vertiacl_Shading_Top_Left_Movement_Distance,out:Vertiacl_Shading_Top_Right_Movement_Distance,out:Hypervolume,out:Rank,out:EUI,out:sDA,out:sGA,out:UDI,out:SVF,out:PMV
599,40,32,2.5,4.3,0.5,0.0,3.6,25,1.1,6.1,0.8,0.0,0.1,0,-40,1.1,0.2,5,0.2,0.4,0.88,0.1,0.1,1.0,81.824,1.0,0.87037,72.424414,32.385825,2,-999
604,35,34,2.2,4.3,0.8,2.5,1.1,15,0.7,5.8,2.0,0.1,0.3,0,-70,0.9,0.0,5,0.02,0.8,1.06,0.0,0.0,0.824074,81.139,0.824074,0.962963,78.295802,21.765163,1,-999
605,30,29,2.0,4.0,0.9,1.2,2.7,10,0.8,3.4,2.0,1.8,1.0,0,-70,0.9,0.0,5,0.02,0.9,0.98,0.0,0.0,0.484568,80.761,0.484568,0.990741,78.088765,20.76582,0,-999
610,60,36,2.2,7.4,0.8,0.0,0.5,25,1.2,5.6,0.9,0.6,0.0,0,-60,1.3,0.3,6,0.6,0.1,0.88,0.3,0.3,1.0,83.23,1.0,0.833333,70.253086,37.828991,6,-999
626,45,33,2.2,5.5,0.8,2.3,0.1,35,2.0,4.7,0.8,1.0,0.5,0,-70,1.7,0.8,6,0.3,0.3,0.8,0.05,0.0,1.0,82.75,1.0,0.873457,71.026389,28.823023,3,-999
629,55,44,2.4,6.2,0.6,0.3,1.4,30,1.4,5.8,1.0,0.3,0.1,0,-60,0.8,0.1,7,0.2,0.7,0.83,0.15,0.05,1.0,82.716,1.0,0.888889,71.775432,26.112301,5,-999
640,30,30,1.9,4.3,0.9,3.4,0.2,15,1.2,3.4,0.8,1.1,1.7,0,-70,1.3,0.3,3,0.9,0.1,2.13,0.0,0.0,0.962963,82.545,0.962963,0.882716,74.163827,40.678819,0,-999
643,50,41,1.8,7.5,0.9,0.1,0.3,40,1.8,6.0,1.0,0.1,0.1,0,-50,1.8,0.5,8,0.2,0.8,0.87,0.0,0.2,1.0,82.682,1.0,0.938272,70.913025,22.068513,4,-999
648,30,30,1.2,6.8,1.0,0.4,0.7,10,0.6,4.5,2.0,1.1,0.6,0,-50,1.4,0.0,2,1.1,1.0,6.78,0.0,0.0,0.867284,81.927,0.867284,0.932099,77.788673,34.417262,0,-999
659,45,41,2.5,4.9,0.5,2.1,0.9,15,0.9,4.5,0.9,1.3,0.4,0,-60,0.5,0.0,6,0.1,0.6,0.88,0.05,0.05,0.978395,82.167,0.978395,0.901235,75.59034,29.37399,3,-999
667,30,29,2.0,4.0,1.0,0.8,3.1,10,0.6,4.5,2.0,0.4,1.3,0,-80,1.3,0.3,5,0.02,0.1,0.98,0.0,0.0,0.891975,81.481,0.891975,0.941358,77.928333,39.042277,0,-999
